jobtitle,count
"Web Developer IV",66
"Web Developer III",69
"Web Developer II",74
"Web Developer I",95
"Web Designer IV",6
"Web Designer III",13
"Web Designer II",4
"Web Designer I",34
"VP Sales",5
"VP Quality Control",43
"VP Product Management",39
"VP of Training and Development",1
"VP Marketing",42
"VP Accounting",76
"Training Manager",177
"Trainer III",173
"Trainer II",175
"Trainer I",171
"Tax Accountant",294
"Systems Administrator IV",84
"Systems Administrator III",81
"Systems Administrator II",66
"Systems Administrator I",359
"Support Staff III",19
"Support Staff II",58
"Support Staff",94
"Structural Engineer",293
"Structural Analysis Engineer",45
"Statistician IV",2
"Statistician III",4
"Statistician II",11
"Statistician I",12
"Staff Scientist",31
"Staff Accountant IV",101
"Staff Accountant III",90
"Staff Accountant II",77
"Staff Accountant I",427
"Solutions Engineer Manager",206
"Solutions Engineer",204
"Software Test Engineer IV",84
"Software Test Engineer III",82
"Software Test Engineer II",69
"Software Test Engineer I",80
"Software Engineer IV",88
"Software Engineer III",97
"Software Engineer II",80
"Software Engineer I",378
"Software Consultant",327
"Service Tech III",319
"Service Tech II",315
"Service Tech",315
"Service Manager",319
"Service Coordinator",313
"Senior Trainer",176
"Senior Sales Associate",14
"Senior Recruiter",193
"Senior Quality Engineer",148
"Senior Financial Analyst",57
"Senior Editor",138
"Senior Developer",346
"Senior Cost Accountant",301
"Senior Attorney",37
"Sales Representative",5
"Sales Associate",6
"Research Associate",201
"Research Assistant IV",6
"Research Assistant III",18
"Research Assistant II",718
"Research Assistant I",507
"Research Assistant",39
"Relationshiop Manager",201
"Recruiting Manager",22
Recruiter,222
"Quality Engineer",61
"Quality Control Specialist",131
"Project Manager",329
"Programmer IV",61
"Programmer III",78
"Programmer II",77
"Programmer I",84
"Programmer Analyst IV",72
"Programmer Analyst III",78
"Programmer Analyst II",89
"Programmer Analyst I",86
"Product Engineer",56
"Pre-Sales Consultant",209
"Payment Adjustment Coordinator",23
Paralegal,63
Operator,210
"Office Assistant IV",1
"Office Assistant II",1
"Office Assistant I",7
"Media Manager II",47
"Media Manager I",124
"Mechanical Systems Engineer",28
"Marketing Manager",1
"Marketing Assistant",8
Librarian,27
"Legal Assistant",19
"Junior Trainer",175
"Internal Auditor",50
"Information Systems Manager",34
"Human Resources Manager",58
"Human Resources Assistant IV",11
"Human Resources Assistant III",14
"Human Resources Assistant II",10
"Human Resources Assistant I",14
"Human Resources Analyst II",591
"Human Resources Analyst",393
"HR Manager",193
"Help Desk Technician",322
"Help Desk Operator",88
"Graphic Designer",12
"General Manager",32
"Financial Analyst",65
"Financial Advisor",27
"Executive Secretary",2
"Executive Assistant",38
"Engineer IV",1
"Engineer III",5
"Engineer II",6
"Engineer I",9
"Electrical Engineer",29
Editor,88
"Director of Sales",9
"Developer IV",71
"Developer III",81
"Developer II",64
"Developer I",77
"Desktop Support Technician",302
"Design Engineer",50
"Database Administrator IV",76
"Database Administrator III",81
"Database Administrator II",86
"Database Administrator I",81
"Data Visualization Specialist",434
"Data Coordiator",348
"Customer Success Manager",200
"Cost Accountant",291
"Content Developer III",51
"Content Developer II",51
"Content Developer",53
"Computer Systems Analyst IV",69
"Computer Systems Analyst III",68
"Computer Systems Analyst II",91
"Computer Systems Analyst I",87
"Compensation Analyst",30
"Community Outreach Specialist",27
"Chief Design Engineer",90
"Business Systems Development Analyst",326
"Business Development Manager",5
"Business Analyst",684
"Budget/Accounting Analyst IV",174
"Budget/Accounting Analyst III",156
"Budget/Accounting Analyst II",156
"Budget/Accounting Analyst I",152
"Automation Specialist IV",18
"Automation Specialist III",13
"Automation Specialist II",28
"Automation Specialist I",27
Attorney,38
"Associate Professor",1
"Assistant Trainer",173
"Assistant Professor",1
"Assistant Manager",43
"Analyst Programmer",348
"Analog Circuit Design manager",45
"Administrative Officer",57
"Administrative Assistant IV",7
"Administrative Assistant III",16
"Administrative Assistant II",43
"Administrative Assistant I",192
"Administrative Assistant",38
Actuary,26
"Accounting Assistant IV",90
"Accounting Assistant III",67
"Accounting Assistant II",78
"Accounting Assistant I",86
"Accountant IV",86
"Accountant III",83
"Accountant II",82
"Accountant I",75
"Account Manager",205
"Account Executive",479
"Account Coordinator",2
