year,hires,terminations,net_change,net_change_percent
2000,211,211,0,0.00
2001,1082,1082,0,0.00
2002,1012,1011,1,0.10
2003,1088,1079,9,0.83
2004,1087,1074,13,1.20
2005,1038,1005,33,3.18
2006,1069,1026,43,4.02
2007,1058,1021,37,3.50
2008,1061,1013,48,4.52
2009,1094,1045,49,4.48
2010,1050,973,77,7.33
2011,1057,985,72,6.81
2012,1059,971,88,8.31
2013,1042,951,91,8.73
2014,1014,927,87,8.58
2015,1011,894,117,11.57
2016,1076,945,131,12.17
2017,1043,917,126,12.08
2018,1090,958,132,12.11
2019,1038,884,154,14.84
2020,967,828,139,14.37
